project_name,url
3 BHK Flat,/in/buy/resale/page/14049179-3-bhk-apartment-in-manchirevula-for-rs-9375001
4 BHK Villa,/in/buy/resale/page/14507340-4-bhk-villa-in-madanna-gudem-for-rs-18350000
4 BHK Flat,/in/buy/resale/page/14467515-4-bhk-apartment-in-manikonda-for-rs-42000000
4 BHK Villa,/in/buy/resale/page/14516817-4-bhk-villa-in-appa-junction-for-rs-87800000
3 BHK Flat,/in/buy/resale/page/14063356-3-bhk-apartment-in-lingampally-for-rs-12180000
2 BHK Flat,/in/buy/resale/page/13779185-2-bhk-apartment-in-isnapur-for-rs-5300000
3 BHK Flat,/in/buy/resale/page/11169252-3-bhk-apartment-in-balanagar-for-rs-14500000
2 BHK Flat,/in/buy/resale/page/14424992-2-bhk-apartment-in-shankarpally-for-rs-5600000
4 BHK Flat,/in/buy/resale/page/14421154-4-bhk-apartment-in-gaghan-pahad-for-rs-22742700
Aakriti Miro,/in/buy/projects/page/42401-aakriti-miro-by-aakriti-constructions-and-developers-pvt-ltd-in-nallagandla
Omsree Delight,/in/buy/projects/page/307115-omsree-delight-by-om-sree-builders-developers-in-yapral
APR Praveens Higheria,/in/buy/projects/page/235814-apr-praveens-higheria-by-apr-group-in-patancheru
Sunyuga Villa Palazzo,/in/buy/projects/page/281814-sunyuga-villa-palazzo-by-sunyuga-infra-pvt-ltd-in-kompally
Anvitha High9,/in/buy/projects/page/302769-anvitha-high9-by-anvitha-group-in-tellapur
Origin Amogha,/in/buy/projects/page/297962-origin-amogha-by-origin-developers-in-velimela
Omsree Gallaxy,/in/buy/projects/page/284453-omsree-gallaxy-by-om-sree-builders-developers-in-kompally
Omsree Skypark,/in/buy/projects/page/285836-omsree-skypark-by-om-sree-builders-developers-in-kompally
Arkala Life,/in/buy/projects/page/286900-arkala-life-by-arkala-realty-and-infrastructure-private-limited-in-tukkuguda
Jain s Central Park East,/in/buy/projects/page/314445-jain-s-central-park-east-by-jain-constructions-in-narapally
Infocity County,/in/buy/projects/page/308175-infocity-county-by-infocity-builders-in-kardhanur
Sikhara Tranquil,/in/buy/projects/page/267380-sikhara-tranquil-by-sikhara-developers-in-cherlapalli
Syamantaka Aurum,/in/buy/projects/page/297030-syamantaka-aurum-by-syamantaka-infra-in-pragathi-nagar
Blue Lotus Villas,/in/buy/projects/page/290178-blue-lotus-villas-by-lotus-blue-infra-projects-pvt-ltd-in-sheriguda
Thirumala Enclave,/in/buy/projects/page/283455-thirumala-enclave-by-unique-constructions-and-developers-in-prashanthnagar-colony
Vasavi Sri Nivasam,/in/buy/projects/page/254015-vasavi-sri-nivasam-by-vasavi-constructions-in-ghatkesar
